scheme_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,returns_10yr
Taurus Discovery (Midcap) Fund,3.0,Equity,Mid Cap Mutual Funds,3.6,26.4,10.9,12.09
Canara Robeco Emerging Equities – Direct Growth,3.0,Equity,Large & Mid Cap Funds,-0.2,27.0,12.6,11.59
HDFC Small Cap Fund,3.0,Equity,Small Cap Mutual Funds,12.5,43.5,13.5,11.48
HDFC Mid-Cap Opportunities Fund,3.0,Equity,Mid Cap Mutual Funds,11.9,34.2,13.1,12.09
LIC MF Large & Mid Cap Fund,3.0,Equity,Large & Mid Cap Funds,-4.3,22.8,10.9,11.59
ICICI Pru MidCap Fund,3.0,Equity,Mid Cap Mutual Funds,3.9,32.9,11.1,12.09
IDBI Flexi Cap Fund,3.0,Equity,Flexi Cap Funds,-2.0,25.9,11.8,11.1
HDFC Large and Mid Cap Fund,3.0,Equity,Large & Mid Cap Funds,6.3,33.3,12.8,11.59
Sundaram Multi Cap Fund,3.0,Equity,Multi Cap Funds,-2.2,28.1,11.0,11.81
Nippon India Value Fund,3.0,Equity,Value Funds,0.0,30.3,12.2,11.31
Aditya Birla SL India GenNext Fund,3.0,Equity,Sectoral / Thematic Mutual Funds,4.6,25.0,13.3,11.29
Mahindra Manulife ELSS Fund,3.0,Equity,ELSS Mutual Funds,2.3,29.3,12.0,11.44
Mirae Asset Great Consumer Fund,3.0,Equity,Sectoral / Thematic Mutual Funds,8.1,27.2,14.0,11.29
DSP India T.I.G.E.R. Fund,3.0,Equity,Sectoral / Thematic Mutual Funds,15.8,36.4,11.9,11.29
Templeton India Value Fund,3.0,Equity,Value Funds,13.1,39.4,12.3,11.31
Nippon India Focused Equity Fund,3.0,Equity,Focused Funds,3.2,33.0,11.9,11.03
SBI Focused Equity Fund,3.0,Equity,Focused Funds,-4.9,22.0,12.2,11.05
JM Tax Gain Fund,3.0,Equity,ELSS Mutual Funds,0.9,26.2,12.8,11.44
Navi Large & Midcap Fund,3.0,Equity,Large & Mid Cap Funds,1.6,28.7,12.7,11.59
HSBC Value Fund,3.0,Equity,Value Funds,6.8,33.0,11.6,11.32
UTI-Long Term Equity Fund,3.0,Equity,ELSS Mutual Funds,-2.9,24.5,10.9,11.44
Kotak Gold Fund,3.0,Other,FoFs Domestic,14.2,12.2,13.7,10.88
SBI Gold Fund,3.0,Other,FoFs Domestic,14.8,11.9,13.4,10.9
DSP Flexi Cap Fund,3.0,Equity,Flexi Cap Funds,-0.1,22.8,12.0,11.1
LIC MF Infrastructure Fund,3.0,Equity,Sectoral / Thematic Mutual Funds,6.7,29.8,11.2,11.29
DSP Equity Opportunities Fund,3.0,Equity,Large & Mid Cap Funds,3.2,31.6,11.7,11.59
IDBI Gold Fund,3.0,Other,FoFs Domestic,15.0,12.1,12.9,10.9
HDFC Focused 30 Fund,3.0,Equity,Focused Funds,16.0,35.8,11.9,11.03
ICICI Pru Regular Gold Savings Fund,3.0,Other,FoFs Domestic,14.3,11.7,13.1,10.9
Taurus Infrastructure Fund,3.0,Equity,Sectoral / Thematic Mutual Funds,-0.7,25.3,8.9,11.25
Edelweiss Flexi Cap Fund,3.0,Equity,Flexi Cap Funds,1.9,27.5,12.1,11.1
Nippon India Power & Infra Fund,3.0,Equity,Sectoral / Thematic Mutual Funds,20.4,37.2,10.1,11.29
Sundaram Large and Mid Cap Fund,3.0,Equity,Large & Mid Cap Funds,-1.3,25.4,11.7,11.59
Union Value Discovery Fund,3.0,Equity,Value Funds,2.9,29.7,10.9,11.32
Invesco India Tax Plan – Direct Growth,3.0,Equity,ELSS Mutual Funds,-5.2,22.4,10.8,11.44
SBI Flexi Cap Fund,3.0,Equity,Flexi Cap Funds,-1.0,25.2,11.0,11.1
Bandhan Core Equity Fund,3.0,Equity,Large & Mid Cap Funds,6.8,29.6,11.3,11.59
Sundaram Tax Savings Fund,3.0,Equity,ELSS Mutual Funds,1.2,27.7,9.9,11.44
SBI Long Term Equity Fund,3.0,Equity,ELSS Mutual Funds,8.7,30.1,11.6,11.44
Baroda BNP Paribas Focused Fund,3.0,Equity,Focused Funds,0.5,23.1,9.9,11.03
ICICI Pru Bharat Consumption Fund,3.0,Equity,Sectoral / Thematic Mutual Funds,10.2,22.7,10.9,11.29
DSP Nifty 50 Equal Weight Index Fund,3.0,Other,Index Funds,2.2,30.9,10.7,10.97
SBI BlueChip Fund,3.0,Equity,Large Cap Mutual Funds,4.2,27.0,11.4,11.27
Edelweiss Long Term Equity Fund,3.0,Equity,ELSS Mutual Funds,0.9,25.6,10.2,11.44
ICICI Pru Long Term Equity Fund,3.0,Equity,ELSS Mutual Funds,-0.2,27.1,11.5,11.44
Franklin Build India Fund,3.0,Equity,Sectoral / Thematic Mutual Funds,16.0,36.1,13.3,11.29
Baroda BNP Paribas ELSS Fund,3.0,Equity,ELSS Mutual Funds,-2.4,20.4,10.5,11.44
Aditya Birla SL Flexi Cap Fund,3.0,Equity,Flexi Cap Funds,-2.1,25.0,10.4,11.1
SBI Equity Hybrid Fund,3.0,Hybrid,Aggressive Hybrid Mutual Funds,-1.9,18.4,10.8,11.02
Mirae Asset Large Cap Fund,3.0,Equity,Large Cap Mutual Funds,0.6,25.3,12.1,11.26
Aditya Birla SL FP FoF – Aggressive – Direct Growth,3.0,Other,FoFs Domestic,2.5,21.7,10.7,10.9
IDBI Focused 30 Equity Fund,3.0,Equity,Focused Funds,0.1,25.2,10.2,11.03
Aditya Birla SL Focused Equity Fund,3.0,Equity,Focused Funds,-0.7,24.0,10.7,11.03
Navi Flexi Cap Fund,3.0,Equity,Flexi Cap Funds,2.1,25.9,10.9,11.1
Aditya Birla SL Asset Allocator FoF-Dir Growth,3.0,Other,FoFs Domestic,2.0,18.9,9.7,10.9
Shriram Long Term Equity Fund,3.0,Equity,ELSS Mutual Funds,0.8,20.1,10.9,11.44
DSP Equity & Bond Fund,3.0,Hybrid,Aggressive Hybrid Mutual Funds,0.6,18.7,10.7,11.03
Bandhan Large Cap Fund,3.0,Equity,Large Cap Mutual Funds,-1.9,23.0,10.9,11.27
Motilal Oswal Long Term Equity Fund,3.0,Equity,ELSS Mutual Funds,8.5,25.0,10.0,11.44
Invesco India Growth Opportunities Fund,3.0,Equity,Large & Mid Cap Funds,0.8,22.8,11.0,11.59
ICICI Pru Nifty 50 Index Fund,3.0,Other,Index Funds,0.9,26.1,11.9,10.97
UTI-Nifty 50 Index Fund,3.0,Other,Index Funds,0.9,26.2,12.0,10.97
Tata Nifty 50 Index Fund,3.0,Other,Index Funds,1.0,25.6,12.0,10.97
LIC MF S&P BSE Sensex Index Fund,3.0,Other,Index Funds,2.2,25.4,12.6,10.94
Franklin India Taxshield – Direct Growth,3.0,Equity,ELSS Mutual Funds,4.9,29.3,11.4,11.44
UTI-Hybrid Equity Fund,3.0,Hybrid,Aggressive Hybrid Mutual Funds,5.3,25.8,9.8,11.04
Nippon India Index Fund,3.0,Other,Index Funds,0.9,26.0,11.9,10.97
HDFC Hybrid Equity Fund,3.0,Hybrid,Aggressive Hybrid Mutual Funds,7.7,25.6,11.3,11.04
HDFC Index Fund,3.0,Other,Index Funds,0.9,26.0,12.0,10.97
Aditya Birla SL Frontline Equity Fund,3.0,Equity,Large Cap Mutual Funds,1.6,26.3,10.6,11.27
DSP Nifty 50 Index Fund,3.0,Other,Index Funds,0.9,25.8,10.9,10.97
IDBI Nifty 50 Index Fund,3.0,Other,Index Funds,0.8,25.8,11.8,10.97
Aditya Birla SL Nifty 50 Index Fund,3.0,Other,Index Funds,0.7,25.5,11.6,10.97
SBI Nifty Index Fund,3.0,Other,Index Funds,0.9,26.0,11.8,10.97
Bandhan Hybrid Equity Fund,3.0,Hybrid,Aggressive Hybrid Mutual Funds,0.9,23.9,9.6,11.04
LIC MF Nifty 50 Index Fund,3.0,Other,Index Funds,1.0,25.8,11.7,10.97
Franklin India NSE Nifty 50 Index Fund,3.0,Other,Index Funds,0.9,25.6,11.6,10.97
ICICI Pru Retirement Fund,3.0,Solution Oriented,Retirement Funds,1.7,32.4,13.3,9.86
Motilal Oswal Equity Hybrid Fund,3.0,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3,11.0
HSBC Equity Hybrid Fund,3.0,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3,11.0
Kotak Flexi Cap Fund,3.0,Equity,Flexi Cap Funds,3.8,25.0,11.7,11.1
L&T Focused Equity Fund,3.0,Equity,Focused Funds,-0.7,33.7,11.3,11.03
Franklin India Equity Hybrid Fund,3.0,Hybrid,Aggressive Hybrid Mutual Funds,5.3,22.5,11.0,11.04
SBI Multi Asset Allocation Fund,3.0,Hybrid,Multi Asset Allocation Mutual Funds,5.9,16.1,9.6,10.64
Nippon India Large Cap Fund,3.0,Equity,Large Cap Mutual Funds,8.4,29.5,12.6,11.29
ICICI Pru Passive Strategy Fund,3.0,Other,FoFs Domestic,4.9,26.3,10.9,10.9
Tata Hybrid Equity Fund,3.0,Hybrid,Aggressive Hybrid Mutual Funds,6.2,22.8,10.5,11.04
Indiabulls Equity Hybrid Fund,3.0,Hybrid,Aggressive Hybrid Mutual Funds,3.2,20.5,10.9,11.04
Taurus Tax Shield – Direct Growth,3.0,Equity,ELSS Mutual Funds,6.8,24.4,10.6,11.44
Union Balanced Advantage Fund,3.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.6,18.3,10.2,10.02
Tata Retirement Savings Fund,3.0,Solution Oriented,Retirement Funds,0.5,19.3,9.4,9.8
Aditya Birla SL FP FoF – Moderate – Direct Growth,3.0,Other,FoFs Domestic,3.7,17.3,9.4,10.9
Kotak Balanced Advantage Fund,3.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.5,18.1,10.9,10.01
Shriram Hybrid Equity Fund,3.0,Hybrid,Aggressive Hybrid Mutual Funds,0.7,17.7,8.9,10.81
Navi Equity Hybrid Fund,3.0,Hybrid,Aggressive Hybrid Mutual Funds,3.2,19.7,10.9,11.03
ICICI Pru Child Care Fund,3.0,Solution Oriented,Childrens Funds,1.0,19.8,8.8,10.39
Nippon India Balanced Advantage Fund,3.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.3,17.1,10.1,10.0
Quantum Tax Saving Fund,3.0,Equity,ELSS Mutual Funds,2.9,26.6,8.9,11.38
Bandhan Balanced Advantage Fund,3.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,-0.1,15.1,8.5,9.84
SBI Equity Savings Fund,3.0,Hybrid,Equity Savings Mutual Funds,2.2,14.6,8.1,9.16
Aditya Birla SL Regular Savings Fund,3.0,Hybrid,Conservative Hybrid Mutual Funds,3.6,13.9,7.6,10.12
Franklin India Dynamic Asset Allocation FoFs-Dir-G,3.0,Other,FoFs Domestic,5.9,18.2,9.2,10.89
Invesco India Financial Services Fund,3.0,Equity,Sectoral / Thematic Mutual Funds,5.9,22.6,10.9,11.29
HDFC Hybrid Debt Fund,3.0,Hybrid,Conservative Hybrid Mutual Funds,6.0,13.3,8.4,9.96
AXIS Equity Saver Fund,3.0,Hybrid,Equity Savings Mutual Funds,1.4,12.7,8.8,9.08
DSP Dynamic Asset Allocation Fund,3.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.7,12.2,8.3,9.77
ICICI Pru Retirement Fund,3.0,Solution Oriented,Retirement Funds,2.0,9.9,10.9,9.81
Tata Equity Saving Fund,3.0,Hybrid,Equity Savings Mutual Funds,3.4,12.0,7.5,9.1
HSBC Balanced Advantage Fund,3.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.5,13.4,8.0,9.77
PGIM India Equity Savings Fund,3.0,Hybrid,Equity Savings Mutual Funds,4.3,12.6,8.0,9.17
HSBC Conservative Hybrid Fund,3.0,Hybrid,Conservative Hybrid Mutual Funds,2.3,10.3,7.5,10.05
Franklin India Equity Savings Fund,3.0,Hybrid,Equity Savings Mutual Funds,4.8,14.0,10.9,9.27
Quantum Multi Asset Fund,3.0,Other,FoFs Domestic,5.5,12.4,8.1,10.87
ICICI Pru Equity Savings Fund,3.0,Hybrid,Equity Savings Mutual Funds,6.2,12.7,7.9,9.07
ICICI Pru Retirement Fund,3.0,Solution Oriented,Retirement Funds,4.6,6.8,10.9,9.8
Bandhan Equity Savings Fund,3.0,Hybrid,Equity Savings Mutual Funds,3.6,12.2,6.9,9.16
HDFC Credit Risk Debt Fund,3.0,Debt,Credit Risk Funds,4.6,8.0,7.7,7.59
UTI-Dynamic Bond Fund,3.0,Debt,Dynamic Bond,12.5,11.0,6.3,8.77
Aditya Birla SL Govt Securities Fund,3.0,Debt,Gilt Mutual Funds,3.6,6.0,8.0,8.28
DSP Strategic Bond Fund,3.0,Debt,Dynamic Bond,3.0,5.4,7.3,9.1
Nippon India GSF – Direct Growth,3.0,Debt,Gilt Mutual Funds,4.4,5.5,8.3,8.24
AXIS Regular Saver Fund,3.0,Hybrid,Conservative Hybrid Mutual Funds,1.8,10.9,7.0,10.04
UTI-Corporate Bond Fund,3.0,Debt,Corporate Bond Mutual Funds,4.2,6.5,10.9,8.71
UTI-Regular Savings Fund,3.0,Hybrid,Conservative Hybrid Mutual Funds,3.7,13.5,7.2,10.04
LIC MF G-Sec Fund,3.0,Debt,Gilt Mutual Funds,3.3,4.9,7.7,8.18
Franklin India Life Stage FOF-50s + FRP – Dir Growth,3.0,Other,FoFs Domestic,1.7,32.4,13.3,10.8
Kotak Bond Fund,3.0,Debt,Medium to Long Duration Funds,4.1,6.4,7.7,9.83
Kotak Banking and PSU Debt Fund,3.0,Debt,Banking and PSU Mutual Funds,4.7,6.7,7.5,8.65
LIC MF Debt Hybrid Fund,3.0,Hybrid,Conservative Hybrid Mutual Funds,2.5,8.1,6.7,9.86
PGIM India Banking&PSU Debt Fund,3.0,Debt,Banking and PSU Mutual Funds,4.1,6.4,7.1,8.71
Nippon India Income Fund,3.0,Debt,Medium to Long Duration Funds,6.0,5.8,7.9,9.82
HDFC Corporate Bond Fund,3.0,Debt,Corporate Bond Mutual Funds,4.1,6.9,7.3,8.7
HDFC Medium Term Debt Fund,3.0,Debt,Medium Duration Funds,4.1,6.9,7.4,8.92
PGIM India Ultra Short Duration Fund,3.0,Debt,Ultra Short Duration Funds,5.5,5.2,7.3,8.71
HDFC Short Term Debt Fund,3.0,Debt,Short Duration Funds,4.7,7.0,7.3,7.77
ICICI Pru Bond Fund,3.0,Debt,Medium to Long Duration Funds,5.2,6.9,7.3,9.8
Nippon India Floating Rate Fund,3.0,Debt,Floater Mutual Funds,4.5,6.9,7.1,9.47
SBI Credit Risk Fund,3.0,Debt,Credit Risk Funds,5.2,7.2,7.0,7.44
Bandhan All Seasons Bond Fund,3.0,Other,FoFs Domestic,4.1,6.6,7.1,10.84
PGIM India Dynamic Bond Fund,3.0,Debt,Dynamic Bond,4.6,5.7,7.4,9.12
PGIM India Gilt Fund,3.0,Debt,Gilt Mutual Funds,4.2,5.3,7.0,8.24
Nippon India Banking&Financial Services-DirGrowth,3.0,Equity,Sectoral / Thematic Mutual Funds,8.8,28.3,9.5,11.29
ICICI Pru Banking & Financial Services – DirectGrowth,3.0,Equity,Sectoral / Thematic Mutual Funds,7.0,24.9,9.7,11.29
SBI Corporate Bond Fund,3.0,Debt,Corporate Bond Mutual Funds,4.1,6.4,10.9,8.72
Kotak Bond – Short Term Fund,3.0,Debt,Short Duration Funds,4.4,6.5,7.2,7.81
DSP Banking & Psu Debt Fund,3.0,Debt,Banking and PSU Mutual Funds,4.0,6.4,6.9,8.71
Franklin India Debt Hybrid Fund,3.0,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.8,7.0,10.09
UTI-Gilt Fund,3.0,Debt,Gilt Mutual Funds,5.0,5.0,7.3,8.19
HSBC Medium Duration Fund,3.0,Debt,Medium Duration Funds,4.2,7.0,6.7,8.81
Invesco India Corporate Bond Fund,3.0,Debt,Corporate Bond Mutual Funds,3.7,6.4,6.9,8.71
Tata Short Term Bond Fund,3.0,Debt,Short Duration Funds,4.7,6.6,5.8,7.66
HSBC Gilt Fund,3.0,Debt,Gilt Mutual Funds,5.0,5.4,7.1,8.29
Franklin India Corporate Debt Fund,3.0,Debt,Corporate Bond Mutual Funds,4.4,6.3,7.0,8.68
Canara Robeco Income Fund,3.0,Debt,Medium to Long Duration Funds,3.9,5.8,7.0,9.77
Tata Income Fund,3.0,Debt,Medium to Long Duration Funds,1.7,32.4,13.3,9.94
SBI Short Term Debt Fund,3.0,Debt,Short Duration Funds,4.6,6.4,6.8,7.76
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,3.0,Other,FoFs Domestic,4.0,6.5,6.9,10.83
Canara Robeco Gilt Fund,3.0,Debt,Gilt Mutual Funds,4.3,5.1,7.0,8.23
Quantum Dynamic Bond Fund,3.0,Debt,Dynamic Bond,5.4,5.9,6.9,9.1
Kotak Corporate Bond Fund,3.0,Debt,Corporate Bond Mutual Funds,4.5,6.4,7.1,8.7
Bandhan Corporate Bond Fund,3.0,Debt,Corporate Bond Mutual Funds,3.4,6.9,6.8,8.72
Canara Robeco Corporate Bond Fund,3.0,Debt,Corporate Bond Mutual Funds,4.0,6.0,6.7,8.64
HSBC Dynamic Bond Fund,3.0,Debt,Dynamic Bond,4.7,5.4,6.8,9.06
Mirae Asset Short Term Fund,3.0,Debt,Short Duration Funds,4.5,6.1,6.7,7.69
LIC MF Banking & PSU Debt Fund,3.0,Debt,Banking and PSU Mutual Funds,4.2,5.7,6.8,8.56
Kotak Low Duration Fund,3.0,Debt,Low Duration Funds,5.4,6.2,6.9,7.36
Navi Regular Savings Fund,3.0,Hybrid,Conservative Hybrid Mutual Funds,4.4,8.4,6.5,9.69
Canara Robeco Short Duration Fund,3.0,Debt,Short Duration Funds,4.1,5.9,6.5,7.77
Canara Robeco Dynamic Bond Fund,3.0,Debt,Dynamic Bond,4.7,5.3,6.6,8.97
Baroda BNP Paribas Short Duration Fund,3.0,Debt,Short Duration Funds,4.2,5.7,6.7,7.66
UTI-Floater Fund,3.0,Debt,Floater Mutual Funds,5.1,5.9,10.9,9.67
Indiabulls Dynamic Bond Fund,3.0,Debt,Dynamic Bond,4.2,5.2,10.9,9.06
Baroda BNP Paribas Low Duration Fund,3.0,Debt,Low Duration Funds,5.0,6.0,6.5,7.19
IDBI Dynamic Bond Fund,3.0,Debt,Dynamic Bond,1.7,32.4,13.3,9.14
DSP Credit Risk Fund,3.0,Debt,Credit Risk Funds,10.8,6.6,4.5,7.45
SBI Magnum Low Duration Fund,3.0,Debt,Low Duration Funds,5.2,5.6,6.4,7.27
HDFC Income Fund,3.0,Debt,Medium to Long Duration Funds,3.8,5.2,6.1,9.48
Mahindra Manulife Low Duration Fund,3.0,Debt,Low Duration Funds,5.2,5.5,6.4,7.25
HDFC Money Market Fund,3.0,Debt,Money Market Funds,5.6,5.6,6.3,8.34
SBI Savings Fund,3.0,Debt,Money Market Funds,5.5,5.3,6.2,8.34
Franklin India Savings Fund,3.0,Debt,Money Market Funds,5.3,5.2,6.1,8.32
ICICI Pru Money Market Fund,3.0,Debt,Money Market Funds,5.5,5.4,6.1,8.35
Kotak Savings Fund,3.0,Debt,Ultra Short Duration Funds,5.5,5.2,6.2,8.76
Kotak Money Market Fund,3.0,Debt,Money Market Funds,5.6,5.1,6.1,8.34
Invesco India Ultra Short Term Fund,3.0,Debt,Ultra Short Duration Funds,5.4,5.1,6.0,8.77
IDBI Ultra Short Term Fund,3.0,Debt,Ultra Short Duration Funds,5.4,5.1,5.9,8.74
L&T Ultra Short Term Fund,3.0,Debt,Ultra Short Duration Funds,1.7,32.4,13.3,8.82
Mirae Asset Savings Fund,3.0,Debt,Low Duration Funds,5.2,5.6,5.9,7.24
DSP Ultra Short Fund,3.0,Debt,Ultra Short Duration Funds,5.5,4.9,5.5,8.7
Baroda BNP Paribas Ultra Short Duration Fund,3.0,Debt,Ultra Short Duration Funds,5.7,5.1,10.9,8.84
Bandhan Money Manager Fund,3.0,Debt,Money Market Funds,5.4,5.1,5.7,8.2
HSBC Low Duration Fund,3.0,Debt,Low Duration Funds,5.2,5.6,5.8,7.27
Baroda BNP Paribas Arbitrage Fund,3.0,Hybrid,Arbitrage Mutual Funds,5.2,4.6,5.6,6.61
Aditya Birla SL Arbitrage Fund,3.0,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5,6.59
UTI-Arbitrage Fund,3.0,Hybrid,Arbitrage Mutual Funds,5.4,4.7,5.5,6.59
Sundaram Money Market Fund,3.0,Debt,Money Market Funds,5.4,4.7,10.9,8.35
ICICI Pru Equity – Arbitrage Fund,3.0,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5,6.59
Bandhan Arbitrage – Direct Growth,3.0,Hybrid,Arbitrage Mutual Funds,5.6,4.7,5.5,6.59
DSP Arbitrage Fund,3.0,Hybrid,Arbitrage Mutual Funds,5.6,4.6,5.4,6.58
Union Arbitrage Fund,3.0,Hybrid,Arbitrage Mutual Funds,5.0,4.4,10.9,6.69
Sundaram Ultra Short Duration Fund,3.0,Debt,Ultra Short Duration Funds,5.7,4.7,4.5,8.58
DSP Bond Fund,3.0,Debt,Medium Duration Funds,3.8,6.1,4.9,8.47
LIC MF Savings Fund,3.0,Debt,Low Duration Funds,5.0,5.9,5.6,7.26
Franklin India Liquid Fund,3.0,Debt,Liquid Mutual Funds,5.6,4.3,5.4,6.33
HSBC Credit Risk Fund,3.0,Debt,Credit Risk Funds,4.8,5.7,5.1,7.59
PGIM India Liquid Fund,3.0,Debt,Liquid Mutual Funds,5.6,4.4,5.4,6.33
Nippon India Liquid Fund,3.0,Debt,Liquid Mutual Funds,5.6,4.4,5.4,6.33
LIC MF Liquid Fund,3.0,Debt,Liquid Mutual Funds,5.6,4.4,5.3,6.33
Tata Liquid Fund,3.0,Debt,Liquid Mutual Funds,5.6,4.4,5.3,6.33
Mirae Asset Cash Management Fund,3.0,Debt,Liquid Mutual Funds,5.6,4.3,5.3,6.33
HSBC Liquid Fund,3.0,Debt,Liquid Mutual Funds,5.7,4.3,5.3,6.33
DSP Liquidity Fund,3.0,Debt,Liquid Mutual Funds,5.6,4.3,5.3,6.33
SBI Liquid Fund,3.0,Debt,Liquid Mutual Funds,5.6,4.3,5.3,6.33
Invesco India Liquid Fund,3.0,Debt,Liquid Mutual Funds,5.6,4.3,5.3,6.33
Bandhan Liquid Fund,3.0,Debt,Liquid Mutual Funds,5.6,4.3,5.2,6.33
Tata Treasury Advantage Fund,3.0,Debt,Low Duration Funds,5.0,5.6,5.2,7.22
PGIM India Short Duration Fund,3.0,Debt,Short Duration Funds,4.5,6.3,4.6,7.61
Baroda BNP Paribas Overnight Fund,3.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.27
UTI-Overnight Fund,3.0,Debt,Overnight Mutual Funds,5.4,3.9,4.6,9.98
Aditya Birla SL Overnight Fund,3.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.27
Tata Overnight Fund,3.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.27
L&T Overnight Fund,3.0,Debt,Overnight Mutual Funds,5.4,3.9,4.7,10.03
Bandhan Overnight Fund,3.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.27
Kotak Overnight Fund,3.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.27
ICICI Pru Overnight Fund,3.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.27
Union Overnight Fund,3.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.27
IDBI Credit Risk Fund,3.0,Debt,Credit Risk Funds,4.3,11.3,3.7,7.22
Shriram Balanced Advantage Fund,3.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2.9,13.9,10.9,9.94
Kotak Focused Equity Fund,3.0,Equity,Focused Funds,0.5,26.6,10.9,11.03
Baroda BNP Paribas Equity Savings Fund,3.0,Hybrid,Equity Savings Mutual Funds,3.7,9.8,10.9,9.23
Motilal Oswal Nifty 500 Index Fund,3.0,Other,Index Funds,-1.2,26.7,10.9,10.97
Motilal Oswal Nifty Midcap 150 Index Fund,3.0,Other,Index Funds,4.8,33.7,10.9,10.97
Tata Banking & PSU Debt Fund,3.0,Debt,Banking and PSU Mutual Funds,4.0,6.9,10.9,8.68
AXIS Nifty 100 Index Fund,3.0,Other,Index Funds,-1.7,25.1,10.9,10.97
Motilal Oswal Large and Midcap Fund,3.0,Equity,Large & Mid Cap Funds,10.7,28.9,10.9,11.59
Union Large & Midcap Fund,3.0,Equity,Large & Mid Cap Funds,0.7,27.6,10.9,11.59
Tata Focused Equity Fund,3.0,Equity,Focused Funds,0.4,28.4,10.9,11.03
BHARAT Bond FOF – April 2023 – Direct Growth,3.0,Other,FoFs Domestic,4.8,7.2,10.9,10.86
Invesco India Overnight Fund,3.0,Debt,Overnight Mutual Funds,5.3,3.8,10.9,10.34
HSBC Ultra Short Duration Fund,3.0,Debt,Ultra Short Duration Funds,5.5,5.1,10.9,8.86
Mirae Asset Banking and PSU Debt Fund,3.0,Debt,Banking and PSU Mutual Funds,3.7,18.85,10.9,8.68
Mirae Asset Ultra Short Duration Fund,3.0,Debt,Ultra Short Duration Funds,5.5,18.85,10.9,8.75
SBI Floating Rate Debt Fund,3.0,Debt,Floater Mutual Funds,5.0,18.85,10.9,9.64
Bandhan Floating Rate Fund,3.0,Debt,Floater Mutual Funds,4.7,18.85,10.9,9.64
Mahindra Manulife Short Duration Fund,3.0,Debt,Short Duration Funds,4.4,18.85,10.9,7.69
Mirae Asset Corporate Bond Fund,3.0,Debt,Corporate Bond Mutual Funds,3.7,18.85,10.9,8.7
Mirae Asset Money Market Fund,3.0,Debt,Money Market Funds,5.3,18.85,10.9,8.36
Union Money Market Fund,3.0,Debt,Money Market Funds,5.4,18.85,10.9,8.34
DSP Small Cap Fund,2.0,Equity,Small Cap Mutual Funds,0.7,38.9,12.5,10.42
Sundaram Small Cap Fund,2.0,Equity,Small Cap Mutual Funds,1.6,44.9,9.3,10.21
HSBC Small Cap Equity Fund,2.0,Equity,Small Cap Mutual Funds,-0.5,45.3,8.4,10.2
Baroda BNP Paribas Multi Cap Fund,2.0,Equity,Multi Cap Funds,-1.7,28.8,12.3,10.87
Franklin India Smaller Companies Fund,2.0,Equity,Small Cap Mutual Funds,10.5,38.8,11.2,10.2
Bandhan Infrastructure Fund,2.0,Equity,Sectoral / Thematic Mutual Funds,13.4,38.1,8.2,9.53
Bank of India Large & Mid Cap Equity Fund,2.0,Equity,Large & Mid Cap Funds,2.7,25.6,9.5,10.17
DSP Midcap Fund,2.0,Equity,Mid Cap Mutual Funds,-3.9,21.1,9.5,9.32
Nippon India Gold Savings Fund,2.0,Other,FoFs Domestic,14.2,11.7,13.1,9.82
Sundaram Infrastructure Advantage Fund,2.0,Equity,Sectoral / Thematic Mutual Funds,7.3,32.5,9.1,9.35
HSBC Large & Mid Cap Fund,2.0,Equity,Large & Mid Cap Funds,-0.6,25.6,10.9,10.26
Aditya Birla SL Gold Fund,2.0,Other,FoFs Domestic,11.8,12.1,13.2,9.75
JM Value Fund,2.0,Equity,Value Funds,7.7,28.9,12.4,10.1
AXIS Triple Advantage Fund,2.0,Hybrid,Multi Asset Allocation Mutual Funds,-5.1,18.1,10.4,9.84
UTI-Core Equity Fund,2.0,Equity,Large & Mid Cap Funds,4.1,30.7,10.2,10.25
Tata India Consumer Fund,2.0,Equity,Sectoral / Thematic Mutual Funds,2.8,23.0,10.6,9.41
HSBC Midcap Fund,2.0,Equity,Mid Cap Mutual Funds,2.3,26.1,8.8,9.25
Tata Flexi Cap Fund,2.0,Equity,Flexi Cap Funds,-2.5,21.3,10.9,9.94
Aditya Birla SL Infrastructure Fund,2.0,Equity,Sectoral / Thematic Mutual Funds,13.5,35.6,9.2,9.4
